pair,asset_a,asset_b,observations,train_engle_granger_stat,train_engle_granger_pvalue
EWA/EWC,EWA,EWC,3574,-4.573643128690373,0.0009244378580610755
XLI/VIS,XLI,VIS,3574,-3.8925169406300477,0.010157737034691366
EWA/EWS,EWA,EWS,3574,-3.5718761725051604,0.02653375071397206
HD/LOW,HD,LOW,3574,-3.470986675567519,0.035055490857356666
TLT/IEF,TLT,IEF,3574,-3.4635481456023403,0.03576648357481576
TMO/DHR,TMO,DHR,3574,-3.381276524272505,0.044473050374208775
MCD/YUM,MCD,YUM,3574,-3.2174021629203753,0.067065481812532
KO/PEP,KO,PEP,3574,-3.163250450276294,0.076291559054098
SPY/IVV,SPY,IVV,3574,-2.768473771664591,0.1759219992962336
V/MA,V,MA,3574,-2.3551280502956864,0.3463908183288109
JPM/BAC,JPM,BAC,3574,-2.3331894319184316,0.3571137163185063
XLF/VFH,XLF,VFH,3574,-1.905752597997775,0.5770863525311438
XLU/VPU,XLU,VPU,3574,-1.4850960897428294,0.7668626049821623
XOM/CVX,XOM,CVX,3574,-0.7300574600020852,0.9432958722333412
XLB/VAW,XLB,VAW,3574,-0.32872818522606145,0.9745179928436174
GLD/IAU,GLD,IAU,3574,1.330606435415311,1.0
