process_var_multiplier,entry_z,exit_z,vol_span,annual_return,annual_volatility,sharpe,max_drawdown,total_return,trade_count,active_day_ratio
1e-05,1.0,0.0,10,0.016916744643984405,0.06372450311370072,0.29505692013307,-0.12434297265373118,0.15340998855829668,43.0,0.9430970149253731
1e-05,1.0,0.0,20,0.016233734951747625,0.06277525483636245,0.287863186748408,-0.12434297265373162,0.14683561123523226,39.0,0.9183768656716418
1e-05,1.0,0.0,40,0.016942016594780895,0.06294976643794839,0.29830225483135864,-0.12434297265373151,0.15365388296105054,33.0,0.9001865671641791
1e-05,1.0,0.0,60,0.014969698950539234,0.06267953330203664,0.26834318074094166,-0.12434297265373151,0.13475568974252927,29.0,0.8819962686567164
1e-05,1.0,0.25,10,0.019066356086624436,0.06297526989876644,0.33134821430547934,-0.12434297265373073,0.17431887524107514,54.0,0.9281716417910447
1e-05,1.0,0.25,20,0.016542101289131805,0.0619812933755135,0.2956476801071991,-0.12434297265372896,0.14979971577291895,49.0,0.8964552238805971
1e-05,1.0,0.25,40,0.015659659784608815,0.060650551339490905,0.2864675546003768,-0.12434297265373062,0.14133539534920647,42.0,0.8507462686567164
1e-05,1.0,0.25,60,0.013441934640004316,0.06052916569309685,0.25080527508019695,-0.12434297265373062,0.12030538671191948,36.0,0.8348880597014925
1e-05,1.0,0.5,10,0.013744726762533688,0.06247852478436081,0.2496785064350591,-0.12434297265373107,0.12315636238324257,61.0,0.9118470149253731
1e-05,1.0,0.5,20,0.012546479541908573,0.061389543608003735,0.23374766250296022,-0.12434297265373118,0.11191145449644901,55.0,0.878731343283582
1e-05,1.0,0.5,40,0.016226377088862654,0.05931415546420293,0.3009725833821154,-0.11601534523919355,0.14676496781966009,52.0,0.8278917910447762
1e-05,1.0,0.5,60,0.014659337854894927,0.05904990302112959,0.2759189667637287,-0.11601534523919288,0.1318069100586181,45.0,0.8111007462686567
1e-05,1.0,0.75,10,0.015099925810580395,0.061789304406759206,0.2733911847819003,-0.11601534523919366,0.13599500926334174,76.0,0.90625
1e-05,1.0,0.75,20,0.01407705825361405,0.06041242292227172,0.2615452822905646,-0.11601534523919133,0.12629283762860188,73.0,0.8675373134328358
1e-05,1.0,0.75,40,0.017958584712012948,0.05863821573989578,0.3328075523579172,-0.11601534523919099,0.1635023870515646,63.0,0.8148320895522388
1e-05,1.0,0.75,60,0.01573953924774285,0.05801972811153666,0.2981191654189833,-0.11263588759474796,0.14209932380034807,60.0,0.7933768656716418
1e-05,1.25,0.0,10,0.01648223092291401,0.06276803963332975,0.2917813306782907,-0.12434297265373073,0.14922369656796053,38.0,0.9165111940298507
1e-05,1.25,0.0,20,0.017057714408056812,0.06213533060745369,0.3032286869514125,-0.12434297265373162,0.1547710399862594,33.0,0.8857276119402985
1e-05,1.25,0.0,40,0.010984940258794929,0.06066703478106501,0.21036087388618976,-0.12434297265373107,0.0974064037909812,26.0,0.8390858208955224
1e-05,1.25,0.0,60,0.01649613928851479,0.06148322961771635,0.29679665465148325,-0.12434297265373129,0.14935748773045487,25.0,0.84375
1e-05,1.25,0.25,10,0.01915312121523316,0.06193558130201968,0.33723887686230647,-0.12434297265373073,0.1751698013420362,48.0,0.8992537313432836
1e-05,1.25,0.25,20,0.014299335017628145,0.061137299983789445,0.2627512453495642,-0.12434297265373095,0.12839495057447037,39.0,0.8610074626865671
1e-05,1.25,0.25,40,0.008227215393993959,0.059466448911251975,0.1674635705160822,-0.12434297265373195,0.07219747469892557,30.0,0.8111007462686567
1e-05,1.25,0.25,60,0.013863983072563979,0.0591795979313552,0.2621920260837051,-0.12434297265373051,0.1242809907109963,29.0,0.7985074626865671
1e-05,1.25,0.5,10,0.015568868516876,0.06150142570941575,0.2818959262239955,-0.12434297265373151,0.14046765924130766,55.0,0.8843283582089553
1e-05,1.25,0.5,20,0.011504552736985474,0.060609906201336064,0.21898357383092232,-0.12434297265373073,0.10221440618956334,42.0,0.8446828358208955
1e-05,1.25,0.5,40,0.009323504494535229,0.05829185072734814,0.18829169481836328,-0.11601534523919321,0.08215700801366932,37.0,0.7947761194029851
1e-05,1.25,0.5,60,0.011282384265394407,0.05788376796531906,0.2227008047214878,-0.11601534523919088,0.10015639920681951,31.0,0.7803171641791045
1e-05,1.25,0.75,10,0.016619700341453658,0.06084416248722576,0.301277608216773,-0.11601534523919321,0.1505466836754683,65.0,0.8777985074626866
1e-05,1.25,0.75,20,0.013178529636717284,0.05958331300314125,0.2494732028196864,-0.11601534523919388,0.11783046135496233,54.0,0.8316231343283582
1e-05,1.25,0.75,40,0.014565183950355554,0.05769492237077216,0.27942264701780994,-0.11601534523919244,0.13091367989629976,45.0,0.7835820895522388
1e-05,1.25,0.75,60,0.014469482235607956,0.05648904825313628,0.282490577833613,-0.1126358875947473,0.13000640335634261,40.0,0.753731343283582
1e-05,1.5,0.0,10,0.011456324146215557,0.061317942624629626,0.21638356362986677,-0.12434297265373107,0.10176736316729951,31.0,0.8805970149253731
1e-05,1.5,0.0,20,0.005857444992022565,0.059843925806865254,0.12746568513937076,-0.12434297265373129,0.05094460685444213,25.0,0.8362873134328358
1e-05,1.5,0.0,40,0.007776426030826844,0.05940605216496771,0.16004789035906916,-0.12434297265373151,0.06812568422582999,22.0,0.8190298507462687
1e-05,1.5,0.0,60,0.013618912791875326,0.05887214345993254,0.25915136424187535,-0.12434297265373084,0.12197096928876983,22.0,0.8027052238805971
1e-05,1.5,0.25,10,0.012658892296498081,0.060545377535362106,0.2379947211632328,-0.12434297265373306,0.1129621480580365,37.0,0.863339552238806
